,Mkt-RF,SMB,HML,RMW,CMA,RF,excess_returns
2021-10-18,0.4,-0.41,-0.01,0.57,-0.08,0.0,-0.009261449298646252
2021-10-19,0.7,-0.48,-0.24,-0.17,0.1,0.0,0.02583023856449529
2021-10-20,0.34,0.23,1.2,0.28,0.55,0.0,0.0031175315524398783
2021-10-21,0.37,0.03,-0.99,0.31,-0.61,0.0,-0.013148530425104665
2021-10-22,-0.25,0.02,1.02,0.43,0.47,0.0,-0.04093989042355728
2021-10-25,0.56,0.36,-0.13,-0.42,-0.37,0.0,-0.014650210376843664
2021-10-26,0.05,-0.78,-0.3,-0.38,-0.15,0.0,0.014355329335707712
2021-10-27,-0.76,-0.94,-1.21,0.86,-0.63,0.0,-0.10437202678713797
2021-10-28,1.11,0.83,-0.5,-0.27,-0.17,0.0,0.0008465743554382232
2021-10-29,0.21,0.13,-0.83,0.56,-0.83,0.0,-0.014096419024315132
2021-11-01,0.5,2.05,0.44,-1.13,0.07,0.0,-0.0034315911464991578
2021-11-02,0.25,-0.33,-0.55,0.42,0.16,0.0,0.004017308765441374
2021-11-03,0.79,1.44,-0.16,0.21,-0.43,0.0,0.058588143433046413
2021-11-04,0.39,-0.29,-1.38,0.66,-0.74,0.0,0.0008099022288170499
2021-11-05,0.37,0.79,1.22,0.05,1.36,0.0,-0.001618596541272499
2021-11-08,0.16,0.02,0.1,-0.53,-0.12,0.0,0.026209166838539355
2021-11-09,-0.34,-0.13,0.46,0.59,0.29,0.0,-0.033701916659409914
2021-11-10,-1.04,-0.3,0.95,1.37,0.02,0.0,-0.06021795745313352
2021-11-11,0.17,0.62,0.35,0.14,0.1,0.0,-0.009278152912392423
2021-11-12,0.74,-0.46,-0.91,0.37,-0.29,0.0,0.030436083443297512
2021-11-15,-0.06,-0.45,0.7,0.53,0.5,0.0,-0.007100255793822119
2021-11-16,0.44,-0.16,-0.68,0.17,-0.65,0.0,-0.031178494883657204
2021-11-17,-0.41,-0.65,-0.26,0.81,0.18,0.0,-0.0292293444047782
2021-11-18,0.14,-0.75,-0.06,1.26,-0.11,0.0,-0.07147202874481029
2021-11-19,-0.25,-0.41,-1.31,1.03,-0.64,0.0,-0.05044221686509731
2021-11-22,-0.57,0.07,2.78,1.25,1.63,0.0,-0.03966883848257152
2021-11-23,-0.02,-0.19,1.77,0.25,1.15,0.0,-0.006824731789376481
2021-11-24,0.3,-0.14,-0.87,-0.54,-0.25,0.0,0.011934897947879053
2021-11-26,-2.24,-1.28,-0.95,0.26,-0.61,0.0,-0.0021443697971407216
2021-11-29,1.1,-1.31,-0.78,0.38,-0.31,0.0,-0.03044413965426296
2021-11-30,-1.95,0.18,-1.13,-0.09,0.39,0.0,-0.041743597100322716
2021-12-01,-1.59,-0.44,1.09,2.33,0.78,0.0,-0.07748651455279776
2021-12-02,1.53,1.0,1.25,-0.66,0.04,0.0,0.011282927468466264
2021-12-03,-1.19,-0.88,1.08,1.76,1.07,0.0,-0.1095041918319768
2021-12-06,1.2,0.84,0.63,0.1,0.62,0.0,0.016241317580550918
2021-12-07,2.22,-0.17,-1.78,-1.44,-0.47,0.0,0.03789954055541456
2021-12-08,0.46,0.35,-0.85,-0.97,0.19,0.0,0.043554764234753574
2021-12-09,-1.04,-1.05,1.55,1.44,1.0,0.0,-0.07630689369047916
2021-12-10,0.71,-0.87,0.52,1.38,0.77,0.0,-0.08124147416896266
2021-12-13,-1.04,-0.29,-0.99,0.31,-0.3,0.0,-0.021361073807952047
2021-12-14,-0.76,-0.35,1.65,0.41,0.18,0.0,-0.028934090360299147
2021-12-15,1.62,0.01,-1.91,0.05,-0.35,0.0,0.019341393385537975
2021-12-16,-1.19,-0.85,2.8,0.62,0.67,0.0,-0.06974362104366971
2021-12-17,-0.66,1.47,-2.34,-1.7,-0.37,0.0,0.05292177641246831
2021-12-20,-1.26,-0.21,-0.41,0.03,0.17,0.0,-0.0560209253117242
2021-12-21,2.06,0.67,0.19,-1.09,-0.24,0.0,0.04991678226595342
2021-12-22,0.97,0.18,-0.35,0.34,0.05,0.0,-0.029054470974245072
2021-12-23,0.72,0.28,-0.49,-0.37,-0.41,0.0,0.028291647524862462
2021-12-27,1.23,-0.13,0.31,0.98,0.45,0.0,-0.024338576389263955
2021-12-28,-0.26,-0.41,0.82,0.84,0.23,0.0,-0.053687621607694136
2021-12-29,0.07,-0.02,0.17,0.71,0.0,0.0,-0.019484248580091013
2021-12-30,-0.17,0.07,-0.41,-0.83,-0.44,0.0,0.06370544206342332
2021-12-31,-0.31,0.17,0.52,0.35,0.45,0.0,-0.024175852506203577
2022-01-03,0.72,0.44,0.77,-1.17,0.53,0.0,0.03828830497816904
2022-01-04,-0.27,-0.06,3.64,0.64,1.56,0.0,-0.05639918033660152
2022-01-05,-2.26,-0.93,2.58,1.41,1.29,0.0,-0.08160920157617157
2022-01-06,0.0,0.38,1.76,-0.56,0.01,0.0,-0.025031265956738213
2022-01-07,-0.49,-0.96,2.02,-0.13,0.85,0.0,0.01989733126667148
2022-01-10,-0.14,-0.31,-0.27,-0.06,-0.36,0.0,-0.017621188206151883
2022-01-11,1.08,-0.2,-0.27,-1.24,0.35,0.0,0.05124921257718662
2022-01-12,0.13,-0.85,0.52,0.77,0.29,0.0,-0.009750143138321898
2022-01-13,-1.55,0.88,2.39,1.18,1.04,0.0,-0.058461526724008395
2022-01-14,0.08,0.05,0.55,-0.85,0.52,0.0,-0.00849673940001927
2022-01-18,-2.06,-0.9,1.38,0.79,0.98,0.0,-0.05075810506863121
2022-01-19,-1.02,-0.36,-0.67,0.25,0.1,0.0,-0.035416617272075346
2022-01-20,-1.15,-0.84,-0.23,-0.31,0.09,0.0,-0.014398902663497637
2022-01-21,-2.09,0.39,0.47,1.03,0.54,0.0,-0.05186267786043963
2022-01-24,0.53,1.75,-0.25,-0.06,-0.67,0.0,0.01078585117566444
2022-01-25,-1.42,-0.18,2.8,-0.79,1.62,0.0,-0.0053353426398475845
2022-01-26,-0.29,-1.06,0.1,0.42,-0.02,0.0,-0.049042171185341155
2022-01-27,-0.76,-1.46,0.83,1.05,0.92,0.0,-0.06446415798318395
2022-01-28,2.46,-0.62,-2.08,0.16,0.16,0.0,0.09646855458044201
2022-01-31,2.32,0.7,-2.87,-1.82,-1.67,0.0,0.11154753553467023
2022-02-01,0.87,0.12,0.65,-1.1,0.33,0.0,0.03533568999855086
2022-02-02,0.51,-1.58,0.7,1.5,0.51,0.0,-0.04300335680348655
2022-02-03,-2.49,0.46,2.19,0.43,1.36,0.0,0.00927240774051552
2022-02-04,0.89,-0.3,-0.6,-1.73,-1.2,0.0,0.07279156992320068
2022-02-07,-0.24,0.67,0.2,-0.71,-0.01,0.0,-0.0836627425712666
2022-02-08,1.02,0.73,-0.29,0.93,-0.42,0.0,-0.03810206605212829
2022-02-09,1.6,0.02,-1.96,-1.1,-0.26,0.0,0.03961133994305177
2022-02-10,-1.69,0.02,1.23,-0.56,0.27,0.0,-0.028037339606513
2022-02-11,-1.91,0.92,2.13,-0.2,1.43,0.0,-0.014792955337853075
2022-02-14,-0.35,0.08,-0.62,0.69,-0.18,0.0,0.0022523038538180273
2022-02-15,1.85,1.02,-1.41,-0.68,-0.81,0.0,0.02397001390864273
2022-02-16,-0.02,0.04,0.32,0.61,0.42,0.0,-0.01170445109869267
2022-02-17,-2.29,-0.05,1.15,0.88,1.47,0.0,-0.09326426406627242
2022-02-18,-0.85,0.12,0.95,1.07,0.44,0.0,-0.035918333092514354
